user_id,incoming,ground_truth,generated_reply
U01,princes,"Hermano active el whats lo quiero mucho duerma bien. Dios le bendiga [EMO, 51][EMO, 1][EMO, 15][EMO, 12][EMO, 7][EMO, 7][EMO, 51[EMO, 39][EMO, 51][EMO, 92][EMO, 151][EMO, 39][EMO, 15][EMO, 73]","Ok princes, Que haces?"
U01,Esta con tos?,Un poquito casi nada,"Si esta con tos y me envie el [NAME, 5]"
U01,Vaya a dormir.Mi DIOS  le bendiga,Si pa que Duos te bendiga tambien,"Gracias, que Dios le bendiga tambien. No te olvides de tomar tus medicinas"
U01,"me tienes en el olvido aaaaaa[EMO, 30][EMO, 30][EMO, 51]",Holii estoy trabajando y me mata la espalda,Hola que haces hermano
U01,Igual,"Jejeje  maÂ–ana va a ser genial, Nunca hicimos.lo que dijimos",Sipreme de todo
U03,Si,Si que,Haha
U03,Igual me le das saludo a maa,"Yo no estoy en la casa, Estoy donde tÂ’a",Haaaaa ¡Hola!
U03,Sii,Oye te habÂ’ orita que este cel se esta apagando y no tengo cargador donde estoy,Sii
U03,Un poco ni mucho,Okay,Ni un poco
U03,Si,"Ya, Bueno manito te habÂ’  maÂ–ana dejame baÂ–arme pa acostarme bye cuidate y duerme bien",Si
U03,<Archivo omitido>,"Estas loco Papi te matara, Pero okay no se lo enseÂ–arÂŽ",¿qué pasó?
U03,Yo tambien more,Klk more como estas,No way
U09,Work,"Ok, Hi, Hi ure you",Good
U09,Estoy en la bodega,"Toy aquÂ’ ya, Ok boy paya esp?rame ahora, Esp?rame hay",Ok
U09,"You no want to see me, You no want gift",What,No
U09,"I want to give you something, Let me see you",I can not because I have class tomorrow,"Ok, I'm here"
U09,Mas tarde,Boy aquÂ’dame,Ok
U09,Jajaja,"Tu vera, U?ya",Jajajajajajajajaj
U09,I want to see you now I'm still working,Ok,I'm waiting you
U09,"You home, Qu? est?s haciendo, puedo llamar, You no call, Good morning",Hi,Ok
U09,2:15 is good,No a worlk to long,Ok
U09,He estado pensando en ti,"Que bien eso, Y que ase",Ok
U09,Ah ok,Tu vera,Ok
U09,Can i see you,Yes late,"Ok, When"
U09,"Hello, Can I call u",In minuto,Ok
U09,Cuando tu. Esta libre,"Ma?[NAME, 3] pero de verdad me lo van a compre , Compra",Esta libre
U09,"When you come back babe, Answer me, You take Tim",Hi,"Ok, I am coming back"
U09,I'd rather see u in house r u alone,what happens is that I'm not alone at home meant,Yes
U09,Be there 5 minutes,Ok,Ok
U09,"Y cuando te puedo compral el vuelo, ?, ?, ?",No gracias ya yo no voy olvida eso,No me puedo compral
U09,How r u,Good end you,"Ok, Good"
U09,Hey I want to see you today in th night,"No because I still en [PLACE, 10]",Ok
U09,Ok I want to see you in shower,Meybe,No
U09,Y donde Esque tu estas loca jajaja,"aquÂ’ ya, En la bodega",En casa
U09,usted es una mujer muy hermosa,Gracias y tu tan bien ere in hombre lindos y tiene esposa,Gracias por tu amistad
U09,How are u,Good end you,"Ok, No"
U09,In shower,No besucase My brother is Hi,Ok
U09,Are you up,Im good,Yes
U09,How r u,"In My home, Endulza, End you, Hey ure you doing",Ok
U09,"Ma?na, Te puedo ver ?, Baby","No se, No es seguro",Si
U09,"Ok but I love you, Why you don't love me",No,I love you
U09,How are you,In work end you,"Ok, Good, You"
U09,Ok I'm very happy I meet you,Ok,Ok
U09,"Yeah babe I miss u, Hey",Ok,Ok
U09,No quiero esperar puedo verte antes,"No puedos porque hoy trabajo y ma?[NAME, 3] tan bn , Y en Domingo puedos porque entro a trabajar ala 4:00 pm",No
U09,What time do you finish work,Ringth now,Ok
U09,Ok we can see 1:50 pm if you want,"No because, Still",Ok
U09,Me dejaron sola hoy,Nadie fue hoy,"Hoy, No, No"
U09,"Me too I work in [PLACE, 8], Can I see u before u star working",Ok can end mc Donald's,Ok
U09,Are you in work,No in my home because 4:00 pm I'm work,Yes
U09,?llegaste a trabajar ok,Si y tu que ase,"Ok, Por que no me llamaste"
U09,Entonces no digas que no faltaras mas buena loca ?,[IMAGE],No
U09,"What time?, Hey, Klk","Km2, ??",Hi
U09,"By stored, sent me more pictures",Ok,Ok
U09,"[NAME, 4]",Ok nice,?
U11,Q  class tienes ahora,"Con [NAME, 5]",A  2.
U11,La miaaa,"Aaaaaaa, Que bien, Baby",?
U11,?,????hermosa como tu,?
U11,Ok hay ablamos,"Ok esta bien pues cuidate chida ala bb ok, ?, ??, ?, ?",Ok ok
U11,Ya salieron,No,?
U11,Siiii,Jajajajaja ?,Siiii
U11,Tu culo,????,? Te crees
U11,Al parke,Horale tu si sales,"Ok, ok, ok, ok, ok, ok, ok, Ok, ok, ok, ok, ok, ok, Ok, ok, ok, ok, ok, ok, Ok, ok, ok, ok, ok, ok, Ok, ok, ok, ok, ok, ok, Ok, ok, ok, ok, ok, ok, Ok, ok, ok, ok, ok, ok, Ok, ok, ok, ok, ok, ok, Ok, ok, ok, ok, ok, ok, Ok, ok, ok, ok, ok, ok, Ok, ok, ok,"
U11,"Estaba durmiendo, Heyyy",Todav?a,"Ok, Y que tal"
U11,Me esperas va,"A que horas, Vas a salir, Tu","Pues si, te espero"
U11,"Pues ?te cuento quiero terminar hoy, Mi proyecto","Pues echale muchos ganas, Cual es tu nombre, Completo","Ok ok ok, Puedo hacerlo, Si necesitas ayuda"
U11,Vamos a ir o no?,"A donde ??, Seme olvido en serio","Si si, y yo, yo, yo, y yo"
U11,Burro,"Lose, Bb, Ahora no puedo hablar., Buenos dÂ’as, ?Hola? ojitos ?hermosos ??buenos? dÂ’as?","Si si si, me acuerdos, te llamo"
U11,"No lo aw, Se, Asi lo puse, Porq no se",No que esta mal,"Ok, Y no te preocupe, Asi lo puse, Por que no se"
U11,Ok,Ok,"Ok, ok, ok, Que tal, Te gusta"
U11,"As? q dedo quieres q me chupe, ??",Ninguno por que te estoy diciendo la verdad apenas despert?,"?si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si"
U11,"Ven a la
[PLACE, 12] con Zen[NAME, 4]","Ella va air, Aya",?
U11,Y xq?,Estornudastes cuando av?a pasado,"Ok, pero xq no me escribiste"
U11,"En [PLACE, 10] , En la [PLACE, 3], Del tren C","Asu esta un poco lejos de [PLACE, 6]","[PLACE, 5]"
U11,"Como as?, Weyyyy, ??","No hay problema, Tu ni me extra?as, ??Hola hola ?? que tengas? un bonito? d?a?te mando un besito?","Wey, Como as?,??, Wey"
U11,"??, ??, ??, No",No que,"No,?, No"
U11,"?Esto, ?ya lo ise",Por que dice poyecto,"?Ok,?Ok"
U11,A las 2,"Ok te espero, Oyes vane yo para que te estoy esperando, ?",Hahah ok
U12,"Puedes venir abriendo me la puerta porfa, [NAME, 6] q haces, Como estas","Ps aki todo mal, Jajajajajadigo todo bien, Jijiji, Bien bien, Y tÂ’ donde estas","Ok, Porfa, Porfa, Porfa, Q haces, Q haces, Q haces, Como estas, Como estas, Como estas"
U12,Hola como estas,Hola linda bien mi chiquita y tu.,Hola como estas por ahi mi hermana esta bien pero mi hermano esta un poco malo.
U12,"El numero [NUMBER, 12] ha intentado comunicarse contigo, pero su saldo es insuficiente. Te sugerimos que le llames de vuelta o le envies una recarga a su Tigo, El numero [NUMBER, 12] ha intentado comunicarse contigo, pero su saldo es insuficiente. Te sugerimos que le llames de vuelta o le envies una recarga a su Tigo",Lo siento. Se termino mi saldo flz nxe.   :-),Ok q asÂ—s manito.
U12,"Ok porfa ya te avise no quiero rumors sale, De q  no tienes nada",No no te preocupa ahÂ’ lo veo sale :-),No no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no
U12,"x me ba  contar, puesi fer, feliz tarde para ti fer",O entonces el te contÂ’ q ya tiene novia mmm ps q mal de verdad por que un chavo asi solo querÂ’a aaprovechar. De un chica ps para mi es muy mal yo por mi parte no le darÂ’a mi espalda a la persona que le dije te amo ps por ejemplo yo si de verdad la Amo con toda mi alma tu tÂ’a pero aver ella que me va a decir.   Pero bn tu tranquilizate si tu de verdad lo amaste el que se arrepinta algÂ’n dÂ’a es el animo sii...,"Ok, gracias fer, feliz tarde, cuidate fer, y gracias por responder, no me olvides fer, y cuidate mucho fer, ok, gracias fer, [NAME, 4]"
U12,Porque mucha risa,"Apurate wey, APURATE WEY",Hola q tal si me ayudaras con algo q necesito
U12,"Temprano, Ya boy a llegar","Ooo ok solo que la tÂ’o te dejÂ’ preparado la cena., Digo la tÂ’a","Ahh ok. Gracias por responder, Q tÂ’a, El chico que te hablÂ’a lo que le pasa a el, Y el otro q le hablÂ’a a el, El chico q te hablÂ’a lo que le pasa a el, El otro q le hablÂ’a a el, El chico q te hablÂ’a lo que le pasa a el, El chico q te hablÂ’a lo que le pasa a el, El chico q te hablÂ’a lo que le pasa a el, El chico q te hablÂ’a lo que"
U12,No esq estoy trabajando lo siento,"Ooo yo pensÂŽ, q es asi mi princesa, mmm cuidate, mi amor te amo te amo mucho. , Tkm? Mucho mi vida hablamos en la tarde mi chiquita hermosa flz trd amor.","Ok, q tal todo, ya se que estas trabajando, pero gracias por llamarme."
U12,La evelyn,Ooo okey me mandas el nÂœmero heee,"Hola, La evelyn, Porq no me respondestas, A donde estas, Ya te fuiste, No te preocupes, A mi casa, La evelyn, Porq no me respondestas, A donde estas, Ya te fuiste, No te preocupes, A mi casa, La evelyn, Porq no me respondestas, A donde estas, Ya te fuiste, No te preocupes, A mi casa"
U12,"Porq, No jodas",Jajajajaja,"Siiiiii, El chavo es el que te dice que te voy a dar el dinero, El dinero es para tu hermana, El chavo es el que te dice que te voy a dar el dinero, El dinero es para tu hermana, No manches, El chavo es el que te dice que te voy a dar el dinero, El dinero es para tu hermana, No manches, El chavo es el que te dice que te voy a dar el dinero, El dinero es para tu hermana, No manches, El chavo es el que te dice que te voy a dar el dinero,"
U12,Solo q estaba un poco ocupado,Sii okey,Ok no problemas.
U12,"El numero [NUMBER, 12] ha intentado comunicarse contigo, pero su saldo es insuficiente. Te sugerimos que le llames de vuelta o le envies una recarga a su Tigo","Cada noche sueÂ–o contigo, contigo,...... se que aun existe amor siempre en la distancia podemos amarnos sigues en mas sueÂ–os amor.   tu....... yo...... eterna pasiÂ’n siempre habrÂ’Â la esperanza amor si..... vez....... en donde tu estes yo te llevÂ’ en el alma..... mi alma te Seguira el amor nos llega y nunca nos deja...... sigue siendo luz en mi ser no podre olvidarte dejar de amarte siempre extraÂ–are tu querer... mi vida te amo mucho mi [NAME, 4] feliz noche mami te quiero mucho mi corazÂ—n. Att tu amor invisible. F., Si quizÂ’Â algun dÂ’a tratas de regresar comigo amor yo siempre estare con mas brazos abiertos y que ahÂ’ te cuidas mucho amorcita mi mami te amo. Te quiero tanto nena te amo mucho hermosa y muy preciosa linda guapÂ’sima mi reina mi bella mi cielo mi estrella mi luna mi miel mi bom bom. Carita de [NAME, 5] duerme con amor y cariÂ–o que te desea tu amor que te quiere mucho con todo su alma espero que yo no soy el amor de tu vida que perdiste para siempre y duerme amor .:'(:'(:'(:'(  , Amor yo te amo mi vida yo te amo mmmmm :'(:'(:'(:'(:'(:'(:'(:'(:'(:'(, Linda x que me dejaste mi amor te extraÂ–o mucho mami yo te amo te quiero tanto amor., Mami te amo no puedo dormir pensando mucho que ago para que nuestro amor no terminarÂ’Â yo te amo nena te quiero tanto mami x Dios mi [NAME, 4].flz noche amorcita linda., Amor te amo princesa te quiero tanto mami neta mi [NAME, 4] yo quiero que seguimos mami no vamos a terminar si mi chiquita porfa mi [NAME, 4] te lo pido con un gran amor que siento x ti mami flz maÂ–anita mi amor de mi alma. Te amo nena., Hola mami como estas mi princesa espero que estas bien hermosa cuidate mami te amo linda. Flz dÂ’a. Ok chiquita bay bay nena., Mami te amo mucho mucho mi chiquita si me crees mami tratamos de tener otro oportunidad de luchar otra vez por nuestro amor mi chiquita. Porfavor mi [NAME, 4]. , Flz nxe amor te amo mucho. Dulce sueÂ–o., Hola mi chiquita hermosa como estas nena espero que estas bn mami cuidate si preciosa.TKM? MÂ’  [NAME, 4] feliz dia. Mami. , Hola preciosa flz dÂ’a nena TKM? [NAME, 4] cuidate hermosa.. eres mi [EMO, 116][EMO, 116][EMO, 116][EMO, 116][EMO, 116][EMO, 116]., Hola mi princesa qtl mami cuidate amor te amo chiquita. Feliz dÂ’a mi [NAME, 4] te quiero mucho.mami. , Hola mi princesa como estas mami amor yo te amo tanto nena flz tardesito mami te quiero mucho linda., AMOR DEBERÂ’S MI [NAME, 4] NO TE IMAGINAS LO MUCHO Q YO TE QUIERO QUE YO TE AMO CON TODO MI ALMA MAMI SI NO ME CREES PERO ALGÂ’N DÂ’ÂA LO BAS A CREER CHIQUITA TE LO JURO MAMI SOLO ATI TE E AMADO LINDA CHIQUITA CUIDATE AMOR TE QUIERO FLZ DÂ’ÂA MI AMOR........, Te amo chiquita flz trd mami te quiero mucho mi amorcita [NAME, 4]. , Hola mami puedo llamarte mi amor si puedo intenta llamarme mi chiquita si mi [NAME, 4] te amo preciosa., Hola nena, Hola princesa, Dime siiiiii chiquita., Buenos dÂ’a preciosa te quiero mucho nena cuidate linda la amo mucho mi [NAME, 4]., Hola chiquita flz tardesito TKM? nena., Flz nxe hermosa te amo mucho nena te quiero tanto mi [NAME, 4] dulce sueÂ–o chiquita. , Amor chiquita [NAME, 4] entiendame nena yo te extraÂ–o mucho yooo te amo te necesito mi amor. , Ahora me duele mucho el corazÂ—n mami por q estoy muy triste x ti por q me dijiste q me dejes  preciosa. Nenas te amo., Hola mami como estas preciosa., Q ases linda, Hola preciosa flz dÂ’a chiquita te quiero mucho nena cuidate linda tm mi [NAME, 4]., Hola princesa como estas linda espero que estas bien mami., Te quiero con todo mi alma mi [NAME, 4] cuidate mucho nena., Flz nxe chiquita preciosa te quiero mucho nena dulce sueÂ–o [NAME, 4].... bay bay.   Mi chiquita hermosa.  Tm?., Hola chiquita cuidate mucho linda te amo.",Okeeeee. Q t estas haciendo.
U12,Ok amor feliz tarde,Okey nena igual amor te amo y flz trd hablamos en la tarde tkm?.,"Ok amor q tal, Q tal tu amor."
U12,"Alli te paso el Domingo Eeeeeee, Hey manito q vas hacer  maÂ–ana, [NUMBER, 12]","Eyyy que es la tarjeta tigo o claro., Dime es que no se q es, Eyyy manito mandame en un mensaje se me olvido el nÂœmero grande., Plis, [NAME, 6].",Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
U12,Ok esta bien,Okey cuidate flz trd.. manito. ..,Sii hermosa
U12,Ok,"Hola mi amor como estas mami., Que ases mi chiquita hermosa.",Ok.
U12,"aquÂ’ en la [PLACE, 2]","Jajajajaja, Okey","Ok manito, que tal estas, mi amor."
U12,"El numero [NUMBER, 12] ha intentado comunicarse contigo, pero su saldo es insuficiente. Te sugerimos que le llames de vuelta o le envies una recarga a su Tigo, El numero [NUMBER, 12] ha intentado comunicarse contigo, pero su saldo es insuficiente. Te sugerimos que le llames de vuelta o le envies una recarga a su Tigo","Oooo nnoooo sobrinita flz nxe ahÂ’ me lo cuidas a tu ti si se siente mal o enferma no quiero que pasa algo malo ok bay bay flz nxe...., Y se cuidan mxo eeee bay",Ok.
U12,Ya estas en la casa,No sigo aki todavÂ’a.,"Siii, ya llegue, Gracias, Gracias, Gracias, Gracias."
U12,Ya me estoy preocupando,Nooo que PASÃ§ neta todo bien manito,"No te preocupes, no te preocupes, todo bien, todo bien."
U12,eeeee mal muy mal,"Mmm y eso por que mal que PASÃ§, Que cel estas utilizado claro o tigo por que mas mensaje llega.","Mmmm, ahh noo noo noo noo noo, ok noooo, mmmm, ahh noo noo noo noo noo, mmmm, ok, ahh ok."
U12,"Ya tomaste cafe, Oye ahi en la gaveta agÂ’Ârrate para la comida, Digo llÂŽvate 20 comprate comida come, Digo llÂŽvate 20 comprate comida come, El tÂ’o esta en la casa",Okey si el tÂ’o si estas en la casa,"Ok ok, Q onda, Gracias, Q onda, Ok ok, Q onda, Gracias, Q onda, Q onda, Gracias, Q onda, Q onda, Gracias, Q onda, Q onda, Q onda, Gracias, Q onda, Q onda, Q onda, Q onda, Q onda, Q onda, Q onda, Q onda, Q onda, Q onda, Q onda, Q onda, Q onda, Q onda, Q onda, Q onda, Q onda"
U12,"El numero [NUMBER, 12] ha intentado comunicarse contigo, pero su saldo es insuficiente. Te sugerimos que le llames de vuelta o le envies una recarga a su Tigo","Hola nena, Hola chiquita, Mmm solo querÂ’a avisarte q fui yo el q te mande la recarga sale te quiero linda., Mm ok mami me avisas si terminaste de hablar con tu hermano ok preciosa te quiero mucho., Okey linda feliz noche ahÂ’ te cuidas mucho nena., Bay Bay preciosa tkm?, Hola linda perdon x no contestar es que estoy en la iglesia siii tkm?., Hola mi chiquita como como estas mi amor, Hola mi amor q ases mi vida., Hola mi amor q ases mi vida...","Ok si ok si te gusto mi amiga, Q tal mi amor mi corazÂ—n, Te amo mi vida."
U12,Q hora vas a venir,"Como asi, No entiendo","No se que hora, pero a la hora de la tarde si, por que manana ya me voy a ir a la casa de mi hermano"
U12,"Esta bien, Y la tÂ’a esta oh no",Siii ella esta en la casa,"Ella esta bien, Pero ya se fue a la casa, Pero yo te llamÂ— y te digo que si tu no estÂ’a en casa, Y te digo que si tu no estÂ’a en casa, Y te digo que si tu no estÂ’a en casa, Y te digo que si tu no estÂ’a en casa, Y te digo que si tu no estÂ’a en casa, Y te digo que si tu no estÂ’a en casa, Y te digo que si tu no estÂ’a en casa, Y te digo que si tu no estÂ’a"
U12,feliz noche mi fer q dios lebendiga en tu vida en tu trabajo mmmmm,Mmmm gracias igual DIOSITO LINDO ME LOS BENDIGA FELIZ NOCHE. ...:-):-),Gracias mi amor por tu felicitacion.
U12,Oye q vas a comer ya bamos a pedir algo de comer,Donde,No no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no
U12,"Aki en la [NAME, 5] hawy","Ha Okey broo?, Eeeyyyyy manito donde estas","Eee, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No, No"
U14,Lol no kiero pichar,Yo se,Lol no kiero pichar
U14,Class bored,Ah Bueno ?,Tambien
U14,"Hoy?, Up to yu, claro para chill, Cuz im on my perido","La otra semana, El sabado, Entonces","Ese, Me siento como si hubiera ganado el premio, ¡Hasta luego!"
U14,Bonita cancion,Es muy buena,Me Gusta
U14,Nada t ustd,Trabajando,Tst
U14,"? im on my period thou, No kiero pichar eh","Jajajaja, Toda la semana tiene periodo","Nada, no me importa, ¿qué más?"
U14,"Ya [NAME, 5] apurate",?Prueba[WEB]/dl/,"Aya [NAME, 4] [NAME, 5] 7"
U14,Bueno,Bueno y que hace,"Pues, ¿y eso?"
U14,Bueno,Bueno,Hombre
U14,Omg ???,??,Nada
U14,Huh,Haha,Huhuhuh
U14,Donde Esta Ud,"En la [NUMBER, 2]",Donde Esta Uds
U14,Bueno de una,Bueno pues,Pues no
