Rec,Sent,User_ID,Rec_Lang,Sent_Lang
"Le puedes tomar de new la foto a la 6 7 y 8, No puedo identificarlas bn, Te me dormiste",No jejeje y tu whats,U01,spanish,bilingual
Que estoy teniendo problemas con el internet,Aaaah,U01,spanish,other
"See, Que haces",Nada oyendo musica y tu,U01,bilingual,spanish
Igual,"Jejeje  maÂ–ana va a ser genial, Nunca hicimos.lo que dijimos",U01,other,spanish
Yeah,Eso de ver a donde vamos a ir,U01,other,spanish
"Ojh, Dime a cuales lugares queres ir, ??",Podemos ir a supermercados si quieres,U01,spanish,spanish
"Siii, Gracias, Que haces, Gracias [NAME, 4] tu tambien descanza y si no puedes dormir vuelve a leer los cap. 22 y 25 de sn. [NAME, 5] aaa y el 2 de apocalipsis jijijij digo mientras te da sueÂ–o ","Jaja ok hermano yo.los leo duerma bien :D, Hermano.[NAME, 4] si hay culto.hoy?, Holiii esta ahi hermano digame algo, Me esta haciendo la ley del hielo :(",U01,spanish,spanish
"Ando asta [PLACE, 8] , Sorry ya no pude ir al [NAME, 5], Tuve que esperar el patron con el que trabajÂŽ y llego muy tarde...paraquÂ’ al final no me pago, Dijo ke asta el miercoles y no se si regresar el lunes o no, Al trabajo",Si me comentaron ayer hermano que pena. Ojala que le paguen pronto. Feliz dia del amor y la amistad :) que tenga un lindo dia,U01,spanish,spanish
"Gracias....igualmente [NAME, 4] nos vmos al rato, Happy valentine's day :), Haaaa:(( buuuu :(( haaaa ....no me pagaron haaa..me voy a acusar con mi Papi Celestial :(, [EMO, 37][EMO, 26][EMO, 25][EMO, 15][EMO, 22][EMO, 29][EMO, 27]",Ooooh :( Hay hermano lo mismo me paso pero tiene q enfrentarle. Tiene q decirle q le pague,U01,spanish,spanish
"Si kieres ir con nosotroa tendremos reunion en casa de la hna quircia a las 7:45 estoy en la iglesia, Ok, Iba a pasar a tu caza pero ya no me da tiempo",Que tal les fue?,U01,spanish,spanish
"Sorry [NAME, 4] deje el cel en casa cargando porque estaba off off...nos fue bien fueron varias hnas. Cantamos mucho :), Muy bonito todo, Descanza  maÂ–ana hablamos feliz noche, Que haces pequeÂ–a good morning",Hola hermano sigo estudiando :( y usted hermano esta trabajando?,U01,spanish,spanish
"Sip ya me dieron mi cheke pero nomas pagaron la mitad ....aaaahh no goooddd :(, Bueno algo es algo",Si hermano ya tiene.para invitarme un cafecito jajaja no mentira bueno gracia a Dios le.pagarom algo por lo menos,U01,spanish,spanish
Dos cafecitos,Hermano si va a ir.al culto?,U01,spanish,bilingual
Estoy en una reunion con mas compaÂ–eros del instituto,Ok hermano entonces  maÂ–ana nos veremoa suerte.wn su reunion :),U01,spanish,spanish
MaÂ–ana no trabajo voy a dormir mucho jajajaja,Hermano vera.que me tiene que invitar mas dos cafes.jajaja :P,U01,spanish,spanish
O si temprano te llamo ok pero conestas ok?,Jajajaj ok hermano no se preocupe Jejej :) disfrute de su noche yo ya voy para el culto:D,U01,spanish,spanish
Waaoooo pense que ibas a dormir,No voy al culto jaja y de ahi a seguir estudiando,U01,spanish,spanish
AmÂŽn,Jejeje sii hermano ahora quiero estar mas con.Dios,U01,other,spanish
"AmÂŽn, Como duermesssss",Pues hoy no dormi casi nada :(  usted como esta hermano?,U01,spanish,spanish
"Y ahora????, Yo acabo de despertar, Pero quiero seguir durmiendo pero mi cuerpo ya no quiere estar acostado jajajaja, [NAME, 15]   [NAME, 5] y [NAME, 5] + [NAME, 5]: [WEB, 7]","Jaja que ricoo yo estpy trabajando con mami [NAME, 6] despues le texteo",U01,spanish,spanish
"Que hacen ???, Si estan preparando comida yo voy heeeee ....a pero su estan remodelando la casa tendrÂŽ que pensarlo me duele mas huesitos jajajaja, [NAME, 4]eeee",Holiiii,U01,spanish,other
Deje el num de marcelo en la iglesia....lo anote en un papelito ;) sorry consiguemelo porfa,"NO, No mentira ya le mando :)",U01,spanish,spanish
Siiii:(,"[NUMBER, 13] ese es el nÂœmero hermano :)",U01,other,bilingual
Gracias beautiful. Gracias gracias feliz nochi,"No hay de que hermano para usted tambien feliz.noche :), Hermano hoy hay practica?",U01,bilingual,spanish
Sii 7:00 ya cassi llego,Ok hermano voy a llegar un poco tarde porque estoy regresando de.la.escuela,U01,bilingual,spanish
"Estoy en [PLACE, 6]..sorry no conteste antes se me apago ya casi no tengo bateria, Asta donde vienes","Vengo de [PLACE, 12] de [PLACE, 18]",U01,spanish,bilingual
"Ok, Ya ni nos despedimos..sorry feliz noche y gracias por tu ayuda :) que descanses","Tranquilo hermano ya sabe que para lo que necesite estare ahi linda noche y recuperece de su gripe, :)",U01,spanish,spanish
Ora por mi :),"Tranquilo hermano que lo hare, Hermano no me mate acabo de levantarme no sono la alarma perdÂ—neme :(, Hola hermano a que hora hay q ir hoy :)",U01,bilingual,spanish
"Free Msg: receivedr [NUMBER, 10] unable to received message - Message Blocking is active.",Hola hermano a que hora hay q ir hoy :),U01,english,spanish
princes,"Hermano active el whats lo quiero mucho duerma bien. Dios le bendiga [EMO, 51][EMO, 1][EMO, 15][EMO, 12][EMO, 7][EMO, 7][EMO, 51[EMO, 39][EMO, 51][EMO, 92][EMO, 151][EMO, 39][EMO, 15][EMO, 73]",U01,other,spanish
"y yo a ti mas [EMO, 6][EMO, 51 descanza  maÂ–ana hablamos , me encanta tu nariz",Jajajajajaja q malo no me haga bullying mejor borre eso,U01,spanish,bilingual
"[EMO, 8], como tu digas.....ya lo borre",Jajajaja gracias :). Que tenga un bonito dia. :D Dios le bendiga.,U01,spanish,spanish
"oki =, [NAME, 13] - EL ANTICRISTO MUY PRONTO EN SURGIR: [WEB, 27], puedes escucharlo por partes cada noche y me dices luego que aprendiste, hi.... como tu ta'",Que lo que mani,U01,spanish,bilingual
jajaja aquÂ’..aquÂ’ en la lucha ya tu sabe,Jajajajaja lol hermano tuve el.peor dia de mi vida me olvide todo en la casa mi billetera las llaves todo jajaja y estoy afuera de la casa esperando a que alguien venga,U01,spanish,spanish
"yo voy, Jajajajaja","Hermano vamos juntos a la iglesia, ??",U01,spanish,spanish
"estoy en [PLACE, 7] y la [PLACE, 3] en brones music comprando algo que se rompio de la bateria y regres en taxi a la iglesia y luego voy a caza a baÂ–ar rapido te llamo como 7:40",Dale de una,U01,spanish,bilingual
OMG estoy bien sucio y sudado y el baÂ–o lo estan ocupando,"Hermano no voy a alcanzar a ir a la iglesia :(, Si creo q alcanzo espere, Aun no esta afuera, ??",U01,spanish,spanish
ya voy en 5 min paso por ti,Ok.hermano pase por la guitarra que.me vinieron visistas y aun no estoy lista jejejeje,U01,bilingual,spanish
"estoy afuera, sorry por no pasar ...ya habia hermanos en la Iglesia esperandome para comenzar el culto[EMO, 15]",Holi Â–aÂ–ito hoy hay repaso,U01,spanish,spanish
"sipi a las 7:00 okis?, 7:30 corazon vengo de [PLACE, 11] un poco tarde ",Call me.back,U01,spanish,english
"me tienes en el olvido aaaaaa[EMO, 30][EMO, 30][EMO, 51]",Holii estoy trabajando y me mata la espalda,U01,spanish,spanish
"waooo yo llegue hace poco no me dio tiempo ir a la iglesia trabajo en [PLACE, 11]:(, cuidate mucho y abrigate hace much frio me escribes cuando llegues ok bsitos[EMO, 15]","MaÂ–ana maybe nos vemos un abrazo gigante hermano lo quiero mucho, Que tenga una linda semana hermano un abrazote que Dios le.bendiga",U01,spanish,spanish
"Dios te bendiga mucho tambien corazon, sabes estoy enfermito no fui a trabajar : ( creo que necesito descanzar y por eso me quede en caza","[NAME, 5] ya nada bueno hermanito que se.mejore",U01,spanish,spanish
"tanks baby see you tomorrow: )[EMO, 15]","Holi hermanito como esta hoy hay practica? Si si hay le caigo un ratito para sa[NAME, 4]r despues del work :)",U01,english,spanish
"no :( estoy muy lejos ya le avise a las hnas nos vmos el jueves, hi princes[EMO, 151]",Holi ;),U01,spanish,bilingual
"vamos a comer tengo hambre, vamos a comer tengo hambre",Vamos jejeje a donde.me va a invitar,U01,spanish,spanish
"tu dices[EMO, 7]","Restaurante mexicano jejeje :), Enserio me.dice, ??",U01,bilingual,spanish
"sipi, Jijijiji me vine a hacer un trabajito extra en [PLACE, 6], poreso te mande la foto, vamos a estar en la iglesia pasas si gustas","Acabo dr salir del trabajando, Trabajo",U01,spanish,spanish
ups ...cansadita verdad...ya todos se fueron yo estoy en la compu haciendo un trabajo del instiuto,"Estoy caminando a la casa me duele la espalda, Ya no aguanto con ese dolor",U01,spanish,spanish
te sobo?,Necesito un buen spa jajaja vamos a uno :) ciando me pague ahi vamos jajaja,U01,bilingual,spanish
Jajajajaja ok,Manana tengo libre trabajo es domingo :(,U01,spanish,spanish
"noooo de verdad??? yo voy a trabajar en la noche el domingo de 9pm asta las 5:00 am del lunes, no se si aguante trabajar el lunes en el dÂ’a y luego en la tarde ir al instituto",Dios wow hermano mantenga la calma tambien tiene q ver por su salud,U01,spanish,spanish
"sip pero te tengo una buena ...me van a poner como tipo manager en unos trabajos [EMO, 51]Ã£ y gente a mi responsabilidad","Aaaah bueno ahi esta chevere  maÂ–ana. Me voy a levantar a las 5 a trotar aquÂ’ en el.parque tengo q bajar 20 kilos en un mas jaja, Vamos a trotar?",U01,spanish,spanish
Jajajajaja no princesita asi estoy bien yo te voy a decir como puedes perder peso en un segundo,Como?,U01,spanish,other
"P E R D O N A N D O [EMO, 8]",A que hora va ir a la iglesia hermano?,U01,bilingual,spanish
"a las 8:00 haaaaaa llegue de trabajar y fui al loundry ahora a planchar ...que dolor de espalda tengo [EMO, 26][EMO, 26][EMO, 26][EMO, 26]","Estoy desde las 7:10 esperando al hermano [NAME, 5] enserio que estres con esto siempre llega imputual si no puede a esta hora que me.diga con tiempo no cuando ya estoy aquÂ’ que iras",U01,spanish,spanish
oooo my god no es posible...pero el sabado pasado tu no te presentaste talves penso que no venias digo alo mejor nose,Pero yo le.dije q no iba ir y despues llegue a la iglesia y le.volvia reatificar porq no iba hoy me.dijo q nos veamos a la 7:15 y hasta ahorita no viene enserio que estres. Eso me enoja demasiafo que piensa de.la vida y me muero de frio que mal.ya no quiero ir a estas clases enserio o mejor deme usted las clases para no seguir perdiendo el tiempo ahorita estoy que hecjo chispas >:(,U01,spanish,spanish
"ya bb trankila ya voy caminando vas a ver que cuando me veas te vas a alegrar esque doy risa no crees....helllooooo, Â– anita, que haces","Acabo de salir del trabajo, Que onda como esta que rivo el.clima parece la playa jajaja",U01,spanish,spanish
que playa ni que nada,Jajajaja y porq la.agresion jajaja,U01,spanish,spanish
ahora que si me invitas lo considerarÂŽ jajajaja,Que? Jajaja me.perdi jajaja lol,U01,spanish,spanish
ace poko llegue de la iglesia,Sii? Y que tal estoy cansadota. Hermano trngo que baja 20kilos estoy obesa jaja,U01,spanish,spanish
"nooooooo, quien diceeeeee",Todos jajaja,U01,bilingual,spanish
"estas como quieres mmm hellooooooo, Jajajajaja",Jajajaja estoy bien gorda enserio que siii pero desde el.lunes empece dieta y voy a ir al gym jajajaja,U01,spanish,spanish
estas bien buena....ups! perdon jajajajaja  me estoy muriendo de risa,Jajajajaja lol si todos dicen q estoy hecha un jabancha,U01,spanish,spanish
"exageran eres un hermoso bomboncito de chocolate [EMO, 8]",No enserio me.dicen que estoy jabancha que es la mezcla de.jabali ballena y chancha jaja tengo que tener mi vientre plano asi cuando llegue jajaja,U01,spanish,spanish
"Jajajajaja [NAME, 4] eres adorable chiquita ....ya relajate te vas a traumar, te voy a regalar algo que te va a funcionar ya veras ok","2000 para una lipo jajajaja, Lol",U01,spanish,spanish
"ya voy a dormir que descanses...bsitos muchos que sueÂ–e s con Dios y sus [NAME, 5]es [EMO, 15] te quero de a gratis oki, no una lipo no...",Jajajajajajajajaja bueno Â–aÂ–ito duerma bien igual que suene con Dios lo quiero mucho un abrazo gigante,U01,spanish,spanish
donde trabajas chikis,"Hoy no trabaje pero estoy en la.[PLACE, 3]",U01,spanish,spanish
"vamos ala iglesia, a ensayar a las 7:00","En enserio usted me.mensaje cuanfo trabajo jajaja, maÂ–ana maybe vaya a la.chruch si me.dan ganas jajaja lol, Broma broma",U01,spanish,spanish
"Jajajajaja, y ahora que haces, acabo de regresar de la iglesia y voy a comer una bendita sopa instantania [EMO, 51] no puede ser","Me.toca hacer deberes q depresion, Vengo cansada y hacer deberes mateme",U01,spanish,spanish
"me dijiste mantenme o solo mateme...no creas que no te puedo mantener heeee jajajajaja, y tu me cocinas okis?",Jajajajajajaja tan chistoso jajaja no dije mateme lol porq no duerme hermano.manana me voy a una.party encendida sabia,U01,spanish,spanish
"Hola [NAME, 6] perdon se que es tarde, pero no tienes que venir  maÂ–ana. El papa de [NAME, 5]ina le dieron el dÂ’a libre  maÂ–ana. ","Sra. [NAME, 4]ÂComo esta? Le dejo saber que ya estoy en camino ",U01,spanish,spanish
"Hola esta bien gracias, Como esta todo?",Todo bien nina esta jugando :) ya comio y ya le cambie el paÂ–al,U01,spanish,spanish
Gracias,Le[WEB]o arroz o algo asi?,U01,other,spanish
"Hola mamita, no esta bien. , Todo bien ?",Si todo bien apenas se desperto ya le.estoy dando de desayunar y ya le cambie,U01,spanish,spanish
"Gracias Bella [EMO, 116]Â[EMO, 8], Como esta todo ?",Hola todo bien :) ya comio y le estoy dando aguita,U01,spanish,spanish
Ok gracias,Le estoy haciendo ahorita un pure de.papa y brocoli,U01,spanish,spanish
Gracias,"Ahorita ya esta [NAME, 6] cuidando a [NAME, 5]ina. :)",U01,other,spanish
"Ok gracias, Como esta to do ?",Todo bien estamos jugando con su ABC,U01,spanish,spanish
"Que bueno, [NAME, 6] mamita [NAME, 5] se tuvo que ir al otro trabajo. , Crees que [NAME, 6] la puede recojer?",Ok entonces voy ahorita para la.casa no creo.pero voy ahorota para agarrar el bus,U01,spanish,spanish
"Ok esta bien. Pregunte a ver, Estas en el bus?","Me.toco haver transfer.no sw donde estoy jaja.el bus solo iba hasta una parte.del [NAME, 5]",U01,spanish,spanish
Ayi Dios mio a donde estas?,"Estoy.esperando el.otro bus para q venga la.parada dice [PLACE, 11] av E [PLACE, 7] av",U01,spanish,spanish
Le pregutaste a alguin?,Si le.pregubte y dicen q en 10 vienen,U01,bilingual,spanish
10 minutes?,Si en 10,U01,english,bilingual
Ok Porfavor de llamar me,Ya estoy en casa muchas gracias por preocuparce,U01,spanish,spanish
"Gracias a Dios, Todo bien?",Si todo esta bien :) aun no se despierta,U01,spanish,spanish
Ok esta bien,"Sra. [NAME, 4] le cuento que estoy tratando.de cambiar a [NAME, 4] desde las 10 pero no se deja pero si comio cereal y una banana ",U01,bilingual,spanish
"Esta bien preguntele a mi hijo, Porfavor, Todo bien ?","Si todo ya esta bien estÂ‡ jugando [NAME, 4]...... su hijo me ayudo a cambiarla ",U01,spanish,spanish
Ok gracias. Esta comportadoce?,Ahorita ya esta tranquila pero antes no querÂ’a escuchar,U01,spanish,spanish
"Ahi Dios mio que [NAME, 4] , Esta escuchando ahora?",Si ahora ya esta escuchando ya esta mas tranquila,U01,spanish,spanish
"Que bueno, Hola [NAME, 6] me gustaria hablar contingo  maÂ–ana despues que yo regrese del trabajo. Si me da tiempo Por la  maÂ–ana entonces hablamos","Esta bien Sra. [NAME, 4] no se preocupe. ",U01,spanish,spanish
"Buenas niches, Noches",Que tenga tambien una buena noche.,U01,spanish,spanish
"Gracias, Hola como esta todo ?","Pues todo bien ahorita [NAME, 4] esta comiendo un sandwich de pavo con queso ",U01,spanish,spanish
Esta con tos?,Un poquito casi nada,U01,spanish,spanish
"Ok gracias, Ya llegaste?, Hola [NAME, 4] se despierto?",No aun no se despierta,U01,spanish,spanish
"Ok, Todo bien ?",Si hace un rato se desperto y esta comiendo pancakes,U01,spanish,spanish
"Ok gracias, se dejo cambiar?",No ahorita le estoy tratando de cambiar pero no se deja,U01,spanish,spanish
Todo bien?,"Si todo bien [NAME, 4] esta feliz porque estan sus hermanas :)",U01,spanish,spanish
"Awwww que Linda, Buen dia [NAME, 6] [NAME, 5] llego talde Ayer. Y hoy entreo a trabajar Temprano. Puedes esperar para cobrar el lunes? , Buen dia [NAME, 6] [NAME, 5] llego talde Ayer. Y hoy entreo a trabajar Temprano. Puedes esperar para cobrar el lunes? ","Sra. [NAME, 4] Buenos dÂ’asno se preocupe el Lunes cobro. ",U01,spanish,spanish
"Esta bien gracias, Esta bien gracias, Hola [NAME, 6] no tienes que venir  maÂ–ana","Ok Sra. [NAME, 4] gracias por avisarme ",U01,spanish,spanish
"Hola [NAME, 6] no tienes que venir  maÂ–ana [NAME, 7] no tiene clase. El viernes tampoco. Pero Jueves puede venir. , Buen dia [NAME, 6] recibiste mi mensaje?","Hola sra.[NAME, 4] lo acabo de.ver gracias por avisarme ",U01,spanish,spanish
"Ok esta bien, Hola [NAME, 6], no tienes que venir  maÂ–ana. A [NAME, 5] le dieron libre. A la tarde despues de las 4 [NAME, 5] va a pasar para darte tu cobro de la semana pasada","Esta bien Sra [NAME, 4] si gusta yo puedo.pasar por ahi porq me encuentro en la casa de mi hermana [NAME, 7] , Esta bien Sra [NAME, 4] si gusta yo puedo.pasar por ahi porq me encuentro en la casa de mi hermana [NAME, 7] , sra. [NAME, 4] en este momento voy para alla",U01,spanish,spanish
"Ok esta bien, [NAME, 6] Espero porque te vamos pagar para el lunes , [NAME, 5] viene de pronto , Ya voy esperame por favor...., Donde esta mi princesita?","Donde [NAME, 6] trabajando limpiando una casa, Pa no se como pagar de la cuenta el inter del.TelÂŽfono me pagas porfa y sacas el dinero de la cuenta please",U01,spanish,spanish
Ya te pago mi princesita,Muchas gracias pa,U01,spanish,spanish
"Donde esta hijita, Conteste por favor","Hola pa perdon estaba en Bjs con [NAME, 6] y paul",U01,bilingual,spanish
"Dos cosas su prueba para CUNA y el ENSAYO, QUE PASÃ§?, CU[PLACE, 2] ",El ensayo aun me.falta pa porq aun no se como hacerlo y el primer tema estaba medio dificil ahorita lo empece hacer otra vez y las pruebas para cu.y nose aun tengo q llamarle a la chica,U01,spanish,spanish
(2/2) ijita  vamos ADELANTE,Si pa :) gracias por los Â’Ânimos,U01,spanish,spanish
Hola princesita  que paso?...........en espera,Pa esta un desastre ese ensayo no se q poner creo q ya no voy a mandar :(,U01,spanish,spanish
"Yo te voy a hayuda envÂ’ame lo que hiciste, Para mi es sencillo no se complique, OK. DESCANSE MAÂ’Â«ANA  ES OTRO DIA. TEMPRANO LE LLAMO, Mi princesita  descanse sobre esto vamos a trabajar entiendo es el primer tema verdad?","Si pa bueno  maÂ–ana lo siho redactando mejor y dile gracias a [NAME, 4] q me va ayudar:)",U01,spanish,spanish
Vaya a dormir.Mi DIOS  le bendiga,Si pa que Duos te bendiga tambien,U01,spanish,spanish
"(4/4) emos hacerlo.Por favor  haga como le di informaciÂ—n., Necesito el TelÂŽfono de Marcelo por favor","[NUMBER, 12]",U01,spanish,english
"Donde esta hijita?, Hola mi hijita Cerebro le habla [NAME, 5] que esta haciendo? ","Jajaja tu eres [NAME, 5] yo soy cerebro pues estoy arreglando la casa",U01,spanish,spanish
Como esta   princesita. Que hace?,"La casa esta fea, No te olvides, De la vitamina c por favor",U01,spanish,spanish
"envÂ’ame el mensaje por whatsaap  no se abre. Y que significa la casa esta fea, No te escucho bien envÂ’ame la direcciÂ—n de la escuela, Este TelÂŽfono anda mal.mal","Pa tienes q bajarte en la parada que dice [PLACE, 23] esta despues de la [PLACE, 3]",U01,spanish,spanish
"Ok. Estoy [PLACE, 11], Donde estas?",Ya mismo llego esperane en esa parada,U01,spanish,spanish
Ok.,Pa te espero a la una en la casa ok jejeje vendÂ’asveras,U01,other,spanish
"Llama a este TLEF  [NUMBER, 12] ME LLAMO [NAME, 7] POR TU ALPINISMO PARA EL DENTISTA LA PROXIMA SEMANA.TR QUIERO MUCHISIMO HIJITA, Buenos dÂ’ashijita .Donde sta?, Buenos dÂ’ashijita .Donde sta?, Princesita  hizo su cita al dentista?, Princesita  hizo su cita al dentista?",Si ya hice pa,U01,spanish,bilingual
"Para cuando, Mi mueloncita",Miercoles,U01,spanish,other
"Hola[WEB]o le va y donde esta.yo estoy trabajando usted sabe., Estoy esperando  donde estas..... ?",Acabo de llegar de la iglesia losiento,U01,spanish,spanish
Mi princesita  como esta? Conteste,Hola Pa bien bieb y tu,U01,spanish,bilingual
"Donde esta, Que tal las clases",En la casa me fue super bien hay q buscar la camiseta q ya me.pidieron uniforme,U01,spanish,spanish
"Actualiza tu androide yo ya lo hice el sistema se llama Apus, Voy a",Yo no puedo porq no tengo memoria este TelÂŽfono es una miercoles ajjaa,U01,spanish,spanish
"Hijita  que va a comer, Posiblemente  hoy vaya al [NAME, 5] con el carro","Estoy con la.[NAME, 4] ahi vemos q comemos ",U01,spanish,spanish
"Ok., Hola princesita  me llamaste.Estoy en el trabajo","[NUMBER, 4] de [PLACE, 8] y [PLACE, 3] , Pa dime que si me.puedes pasar recogiendo, Tengo q ir a las 2:30",U01,spanish,spanish
Hijita necesito el TelÂŽfono de ellos porque no estoy seguro donde es,"Llama a este TLEF  [NUMBER, 12] ME LLAMO [NAME, 7] POR TU ALPINISMO PARA EL DENTISTA LA PROXIMA SEMANA.TR QUIERO MUCHISIMO HIJITA, Ese numero q tu me mandaste marque",U01,spanish,spanish
Hijita esperemeestoy en la escuelita estoy tomando el tren,Donde estas?,U01,spanish,spanish
"Hijita mi princesita  como esta? Me llamo, Hola, Hola",Hola Pa sii te llamae era para ver como te fue con lo.del.seguro o algo q tenias q sacar del carro,U01,spanish,spanish
"Hola, Ho si no voy a pagar mucho del seguro mi  princesita  todo con la Bendicion  de DIOS  va  a salir bien todo. MI REINA QUE DIOS LA BENDIGA, Hijita como esta......",Hola bien bien y tu,U01,spanish,bilingual
Que doce mi hijita,Estoy en after school despues te llamo,U01,spanish,bilingual
Hola .Donde esta?,En after school,U01,spanish,english
"Hoodoo sorry ok., Hola mi preciosa","Hola Pa, Pa estoy con.la.[NAME, 5] en.un concierto cristiano",U01,bilingual,spanish
"Bien mi princesita Dios le BENDIGA  mi [NAME, 5]ito",Dios te bendiga tambn,U01,spanish,spanish
"envÂ’ame la direcciÂ—n, No se descarga el mensaje, envÂ’ame por warshap, Que paso porque no me ha llamado, Hola hijita por donde anda","Hola Pa estoy en [PLACE, 8] , Voy a una cosa de.la iglesia",U01,spanish,spanish
"Esta con [NAME, 5]y",Si estoy con mi.Â–aÂ–a,U01,bilingual,bilingual
DÂ’ÂOS  LES BENDIGA,Gracias pa igual a ti,U01,bilingual,spanish
Hola hijita,Hola pa cono estas?,U01,spanish,spanish
(2/2) icio regular?,Como como,U01,bilingual,spanish
(1/2) ExtraÂ–ada  hija mia estoy trabajando y tu TelÂŽfono ests con ser,"Suerte pa, Suerte muchas suerte",U01,spanish,spanish
Mi princesita  donde anda.Le llame y no me. Contesta..............,"Hola pa, Estaba en la.iglesia, Y desoues me.dormi hace un rato me.desperte",U01,spanish,spanish
"Hijita preciosa  .Esta en after school?, Que pasa hijita no me contesta.Esta muy ocupada?, (1/4) PRECIOSA ESTOY EN LOS Ã²LTIMOS TRÂ’ÂMITES  DE LA REGISTRARON PARA, (3/4) I ESFUERZO POR USTED. TODO VA SALIR BIEN. QUE MI DIOS LA BENDIG, (2/4) RABAJAR PRONTO...... COMO ESTA HIJITA  .ESTOY PO NINTENDO TODO, (4/4)","Si pa yo se suerte estoy estudiando  maÂ–ana tengo prueba suerte en eso confia en Dios, Te quiero mucho pa suerte",U01,spanish,spanish
"(1/2) Gracias mi princesita  me das mucho aliento.Gracias Te extraÂ–o, (2/2)  te quiero hija mia muchisimo, QUE MI DIOS TE BENDIGA",Ya vienes?,U01,spanish,spanish
"(4/4) d ., (2/2) a  .BENDICIONES  para esa excelente  cristiana  familia., (1/2) Que bien me sentÂ’  ayet con tanto cariÂ–o  de las chicas y Fulbi, (1/4) Mi princesita  como esta.  Como estuvo el programa de la Iglesi, (3/4) BUENA.Con ganas de salir  adelante. Mi DIOS  le dio esa tenacid, (2/4) .? Que mi DIOS  le de su BENDICIÂ’N  porque usted es una persona","Pa como te esta yendo, Puedo llamarte, Suerte te quiero",U01,spanish,spanish
Hoy hice,Que hiciste?,U01,spanish,spanish
4carreras[WEB]o le va mi princesita,Bien pa gracias a Dios pa te deseo o mejor yo confio en ti y se que vas a.poder ponte las pilas. Voy a ver si me.inscribo al gym,U01,spanish,spanish
